BrKod;Br15kod;Br15kod_2;Bransch;HexCode;R;G;B;RGB
G01;A;dA;Jord- och skogsbruk;#87f7b4;135;247;180;rgb(135, 247, 180)
G02;B+C;dB+C;Tillverkning och utvinning;#36e60a;54;230;10;rgb(54, 230, 10)
G03;D+E;dD+E;Energi och miljö;#10d0fa;16;208;250;rgb(16, 208, 250)
G04;F;dF;Bygg;#eb12c8;235;18;200;rgb(235, 18, 200)
G05;G;dG;Handel;#f1fa86;241;250;134;rgb(241, 250, 134)
G06;H;dH;Transport;#366631;54;102;49;rgb(54, 102, 49)
G07;I;dI;Hotell och restaurang;#faff01;250;255;1;rgb(250, 255, 1)
G08;J;dJ;IT och kommunikation;#b1dfed;177;223;237;rgb(177, 223, 237)
G09;K;dK;Finans och försäkring;#0000ff;0;0;255;rgb(0, 0, 255)
G10;L;dL;Fastighet;#ec9eed;236;158;237;rgb(236, 158, 237)
G11;M+N;dM+N;Företagstjänster;#94bf69;148;191;105;rgb(148, 191, 105)
G12;O;dO;Offentlig förvaltning;#fcac34;252;172;52;rgb(252, 172, 52)
G13;P;dP;Utbildning;#8f0e25;143;14;37;rgb(143, 14, 37)
G14;Q;dQ;Vård och omsorg;#f5370d;245;55;13;rgb(245, 55, 13)
G15;R+S+T+U;dR+S+T+U;Kultur, fritid och nöje;#660080;102;0;128;rgb(102, 0, 128)
G99;00;d00;Okänt;#ebe2e2;235;226;226;rgb(235, 226, 226)
G98;US;dUS;Okänt;#ebe2e2;235;226;226;rgb(235, 226, 226)
